type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,Ontology for vehicles in the automotive industry.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,part ontology,,,,,,,,,,,
class,mini multi-purpose vehicle,multi-purpose vehicle ,,,Mini MPV,Minivan,"small MPV, smallest size, based on hatchbacks (B-segment), < 4.1 m","A2, A-class, B-Max, ix20, 500L, Jazz, Yaris, Space Star, Venga, Meriva",,small MPV,,https://en.wikipedia.org/wiki/Mini_MPV
class,microvan,multi-purpose vehicle ,,,,Microvan,kei car,"Carry, Porter, Wagon R, Agila, Ignis, Move",,,,https://en.wikipedia.org/wiki/Microvan
class,leisure activity vehicle,multi-purpose vehicle ,,,,Hochdachkombi,,"Citan, Caddy, Kangoo, Berlingo, Doblo, Dokker",,"leisure activity vehicle (LAV), van-based MPV, small passenger van",Hochdachkombi (HDK),https://en.wikipedia.org/wiki/Minivan#Leisure_activity_vehicle
class,minibus,"passenger vehicle, commercial vehicle",,,,Minibus,"9 < passengers < 23, seated or standing",,,"microbus, minicoach, full-size van, large passenger van","Kleinbus, Kleintransporter",https://en.wikipedia.org/wiki/Minibus
class,bus,"passenger vehicle, commercial vehicle",,,,Bus,"> 24 passengers, seated or standing",,,omnibus,Omnibus,https://en.wikipedia.org/wiki/Bus
class,coach,"passenger vehicle, commercial vehicle",,,,Reisebus,"> 24 passengers, only seated",,,motorcoach,Fernbus,https://en.wikipedia.org/wiki/Coach_(bus)
class,recreational vehicle,passenger vehicle,,,,Wohnmobil,"< 10 passengers, only seated",,,"recreational vehicle (RV), motorhome, campervan",,"https://en.wikipedia.org/wiki/Recreational_vehicle, https://en.wikipedia.org/wiki/Motorhome, https://en.wikipedia.org/wiki/Campervan"
class,off-road vehicle,passenger vehicle,,,,,,,,,,https://en.wikipedia.org/wiki/Off-road_vehicle
class,light transport vehicle,transport vehicle,,,,,< 3.5 tons,"Sprinter, Ducato, Transit",Klasse N,light commercial vehicle (LCV),,https://en.wikipedia.org/wiki/Light_commercial_vehicle
class,heavy transport vehicle,transport vehicle,,,,,> 3.5 tons,,Klasse N,"large goods vehicle (LGV), or heavy goods vehicle (HGV)",,https://en.wikipedia.org/wiki/Large_goods_vehicle
class,van,"light transport vehicle, commercial vehicle",,,,Kleintransporter,,"Sprinter, Ducato, Crafter, Transit, Jumpy",,full-size van,Lieferwagen,https://en.wikipedia.org/wiki/Van
class,panel van,van,,,,Kastenwagen,,,,,,https://en.wikipedia.org/wiki/Panel_van
class,conversion van,van,,,,Umbauwagen,A conversion van is a full-sized cargo van that is sent to third-party companies to be outfitted with various luxuries for road trips and camping.,,,,,https://en.wikipedia.org/wiki/Conversion_van
class,pickup truck,light transport vehicle,,,,Pick-up,,,,pickup,,https://en.wikipedia.org/wiki/Pickup_truck
class,truck,"heavy transport vehicle, commercial vehicle",,,,Lastkraftwagen,,,,lorry,"Lastkraftwagen (LKW), Güterkraftfahrzeug",https://en.wikipedia.org/wiki/Truck
class,box truck,truck,,,,Kofferaufbau,,,,,,https://en.wikipedia.org/wiki/Box_truck
class,two-axle truck,truck,,,,,,,,,,
class,three-axle truck,truck,,,,,,,,,,
class,semi-trailer truck,"heavy transport vehicle, commercial vehicle",,,,Sattelzug,,,,"semitrailer, big rig, semitruck, semi, eighteen-wheeler, semitrailer","Sattelkraftfahrzeug, Sattelzugmaschine, Zugmaschine, Sattelschlepper, Lastzug",https://en.wikipedia.org/wiki/Semi-trailer_truck
class,four-axle semi-trailer truck,semi-trailer truck,,,,,,,,,,
class,five-axle semi-trailer truck,semi-trailer truck,,,,,,,,,,
class,six-axle semi-trailer truck,semi-trailer truck,,,,,,,,,,
class,seven-axle semi-trailer truck,semi-trailer truck,,,,,,,,,,
class,special vehicle,vehicle,,,,Sonderfahrzeug,,disabled vehicle,usage,special-purpose vehicle,,
class,self-driving car,"special vehicle, car",,,,Selbstfahrendes Kraftfahrzeug,,,usage,automatised vehicle,automatisiertes Fahrzeug,https://en.wikipedia.org/wiki/Self-driving_car
class,armoured car,"special vehicle, car",,,,Sonderschutzfahrzeug,,,usage,,gepanzertes Auto,https://en.wikipedia.org/wiki/Armored_car_(VIP)
class,armored vehicle,"special vehicle, commercial vehicle",,,,gepanzertes Fahrzeug,,,usage,"armoured van, armored cash transport car, security van, or armored truck",,https://en.wikipedia.org/wiki/Armored_car_(valuables)
class,rental vehicle,"special vehicle, commercial vehicle",,,,Mietwagen,,,usage,,,https://schema.org/RentalVehicleUsage
class,taxi,"special vehicle, commercial vehicle",,,,Taxi,,,usage,cab,,https://schema.org/TaxiVehicleUsage
class,driving school vehicle,"special vehicle, commercial vehicle",,,,Fahrschulauto,,,usage,,,"https://schema.org/DrivingSchoolVehicleUsage, https://de.wikipedia.org/wiki/Fahrschulauto"
class,funeral car,"special vehicle, commercial vehicle",,,,Leichenwagen,,,usage,"hearse, funeral coach",,https://en.wikipedia.org/wiki/Hearse
class,police car,"special vehicle, commercial vehicle",,,,Polizeiauto,,,usage,,,
class,ambulance,"special vehicle, minibus",,,,Krankenwagen,,,usage,,Ambulanz,
class,fire truck,"special vehicle, truck",,,,Feuerwehrfahrzeug,,,usage,"fire engine, fire lorry",,https://en.wikipedia.org/wiki/Fire_engine
class,tow truck,"special vehicle, truck",,,,Abschleppwagen,,,usage,,Abschlepper,https://en.wikipedia.org/wiki/Tow_truck
class,crane truck,"special vehicle, truck",,,,Kranwagen,,,usage,,,
class,garbage truck,"special vehicle, truck",,,,Müllwagen,,,usage,,,https://en.wikipedia.org/wiki/Garbage_truck
class,concrete mixer truck,"special vehicle, truck",,,,Fahrmischer,,,usage,,,"https://en.wikipedia.org/wiki/Concrete_mixer, https://de.wikipedia.org/wiki/Fahrmischer"
class,dump truck,"special vehicle, truck",,,,Muldenkipper,,,usage,,,https://en.wikipedia.org/wiki/Dump_truck
class,flatbed truck,"special vehicle, truck",,,,Pritschenwagen,,,usage,,,https://en.wikipedia.org/wiki/Flatbed_truck
class,logging truck,"special vehicle, truck",,,,Langholztransporter,,,usage,timber lorry,,https://en.wikipedia.org/wiki/Logging_truck
class,internal combustion engine vehicle,vehicle,,,,,,,,internal combustion engine vehicle (ICEV),,
relation,has part,,internal combustion engine vehicle,engine,,,,,,,,
class,diesel vehicle,internal combustion engine vehicle,,,,Dieselfahrzeug,uses diesel,,,,,https://en.wikipedia.org/wiki/Diesel_engine
relation,has part,,diesel vehicle,diesel engine,,,,,,,,
class,petrol vehicle,internal combustion engine vehicle,,,,Benzinfahrzeug,uses petrol,,,,,
relation,has part,,petrol vehicle,petrol engine,,,,,,,,
class,natural gas vehicle,internal combustion engine vehicle,,,,Erdgasfahrzeug,,,,natural gas vehicle (NGV),,
class,compressed natural gas vehicle,natural gas vehicle,,,,CNG Fahrzeug,,,,,,https://en.wikipedia.org/wiki/Compressed_natural_gas
class,liquefied natural gas vehicle,natural gas vehicle,,,,LNG Fahrzeug,,,,,,https://en.wikipedia.org/wiki/Liquefied_natural_gas
class,electric vehicle,vehicle,,,,,,,,,,
relation,has part,,electric vehicle,high voltage battery,,,,,,,,
relation,has part,,electric vehicle,electric motor,,,,,,,,
