type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
drive wheel type,all-wheel drive,,,,,Allradantrieb,,,,all-wheel drive (AWD),Allrad,https://en.wikipedia.org/wiki/All-wheel_drive
drive wheel type,four-wheel drive,,,,,Vierradantrieb,4WD refers to a two-axled vehicle drivetrain capable of providing torque to all of its wheels simultaneously.,,,"four-wheel drive (4WD), 4x4",,https://en.wikipedia.org/wiki/Four-wheel_drive
drive wheel type,six-wheel drive,,,,,Sechsradantrieb,6WD refers to a three-axled vehicle drivetrain capable of providing torque to all of its wheels simultaneously.,,,"six-wheel drive (6WD), 6x6",,https://en.wikipedia.org/wiki/Six-wheel_drive
drive wheel type,six-by-four-wheel drive,,,,,,,,,,,https://en.wikipedia.org/wiki/6%C3%974_(drivetrain)
drive wheel type,eight-wheel drive,,,,,Achtradantrieb,8WD refers to a four-axled vehicle drivetrain capable of providing torque to all of its wheels simultaneously.,,,"eight-wheel drive (8WD), 8x8",,https://en.wikipedia.org/wiki/Eight-wheel_drive
class,vehicle dealer,"place, vehicle information",,,,Fahrzeughändler,,,,,,
class,authorized dealer,vehicle dealer,,,,,,,,,,
class,independent dealer,vehicle dealer,,,,,,,,,,
class,used car dealer,vehicle dealer,,,,,,,,,,
relation,sells,,vehicle dealer,vehicle,,,,,,,,
relation,is sold at,,vehicle,vehicle dealer,,,,,,,,
class,vehicle brand,"vehicle information, brand",,,,,,,,,,
relation,has vehicle brand,,vehicle,vehicle brand,,,,,,,,
vehicle brand,BMW,,,,BMW,BMW,,,,,,https://en.wikipedia.org/wiki/BMW
vehicle brand,Mini,,,,Mini,Mini,,,,MINI,,https://en.wikipedia.org/wiki/Mini_(marque)
vehicle brand,BMW Motorrad,,,,BMW Motorrad,BMW Motorrad,,,,,,https://en.wikipedia.org/wiki/BMW_Motorrad
vehicle brand,BMW M,,,,BMW M,BMW M,,,,,,https://en.wikipedia.org/wiki/BMW_M
vehicle brand,BMW i,,,,BMW i,BMW i,,,,,,https://en.wikipedia.org/wiki/BMW_i
vehicle brand,Rolls-Royce,,,,Rolls-Royce,Rolls-Royce,,,,Rolls-Royce Motor Cars,,https://en.wikipedia.org/wiki/Rolls-Royce_Motor_Cars
class,body style,vehicle information,,,,,,sedan,,"body design, body type, body category","Karosserie, Karosserieversion",https://en.wikipedia.org/wiki/Car_body_style
relation,has body style,,vehicle,body style,,,,,,,,
body style,sedan,,,,,Limousine,,,,"saloon, limousine",,https://en.wikipedia.org/wiki/Sedan_(automobile)
body style,station wagon,,,,,Kombi,,,,"wagon, estate car, estate, touring",Kombinationskraftwagen,https://en.wikipedia.org/wiki/Station_wagon
body style,hatchback,,,,,Schrägheck-Limousinen,,,,,,https://en.wikipedia.org/wiki/Hatchback
body style,coupe,,,,,Coupé,A car with a sloping or truncated rear roofline and two doors.,,,coupé,"Kupee, Zweitürer",https://en.wikipedia.org/wiki/Coupe
body style,convertible,,,,,Cabriolet,A car that can be driven with or without a roof in place.,,,cabriolet,Cabrio,https://en.wikipedia.org/wiki/Convertible
body style,roadster,,,,,Roadster,An open two-seat car with emphasis on sporting appearance or character,,,"spider, spyder",,https://en.wikipedia.org/wiki/Roadster_(automobile)
body style,minivan,,,,Van,Van,,,,Multi Purpose Vehicle (MPV),,https://en.wikipedia.org/wiki/Minivan
body style,sports utility vehicle,,,,SUV,SUV,"A car combined with elements of road and off-road cars, such as raised ground clearance and four-wheel drive.",,,sports utility vehicle (SUV),,https://en.wikipedia.org/wiki/Sport_utility_vehicle
body style,off-road vehicle,,,,,Geländewagen,A car that is capable of driving on and off paved or gravel surface.,,,"overland, adventure vehicle",,https://en.wikipedia.org/wiki/Off-road_vehicle
class,engine aspiration,vehicle information,,,,,,,,,,
engine aspiration,naturally aspirated engine,,,,,,,,,,,https://en.wikipedia.org/wiki/Naturally_aspirated_engine
engine aspiration,Turbocharger,,,,,Turbolader,,,,,Abgasturbolader (ATL),https://en.wikipedia.org/wiki/Turbocharger
engine aspiration,Supercharger,,,,,,,,,,,https://en.wikipedia.org/wiki/Supercharger
class,vehicle equipment,vehicle information,,,,Fahrzeugausstattung,,"Avantgarde, M-Paket",,,,
class,vehicle optional equipment,vehicle information,,,,Sonderausstattung,,,,,,
class,fuel type,immaterial thing,,,,Kraftstoff,,,,,,"https://en.wikipedia.org/wiki/Fuel, https://de.wikipedia.org/wiki/Kraftstoffcode"
fuel type,diesel fuel,,,,,Dieselkraftstoff,,,diesel,,Diesel,https://en.wikipedia.org/wiki/Diesel_fuel
fuel type,petrol fuel,,,,,Benzin,,,gasoline,,,https://en.wikipedia.org/wiki/Gasoline
fuel type,compressed natural gas,,,,,CNG-Kraftstoff,,,,compressed natural gas (CNG),,https://en.wikipedia.org/wiki/Compressed_natural_gas
fuel type,liquefied natural gas,,,,,LNG-Kraftstoff,,,,liquefied natural gas (LNG),,https://en.wikipedia.org/wiki/Liquefied_natural_gas
fuel type,liquefied petroleum gas,,,,,LPG-Kraftstoff,,,,liquefied petroleum gas (LPG),,
fuel type,biodiesel,,,,,Biodiesel,,,,,,
fuel type,methanol,,,,,Methanol,,,,,,
fuel type,ethanol,,,,,Ethanol,,,,,,
fuel type,hydrogen,,,,,Wasserstoff,,,,,,
class,battery type,immaterial thing,,,,,by cathode material,,,,,
battery type,lithium nickel manganese cobalt oxide,,,,,,,,,lithium-nickel-manganese-cobalt oxide (LiNMC),,https://en.wikipedia.org/wiki/Lithium_nickel_manganese_cobalt_oxides
battery type,lithium iron phosphate,,,,,,,,,lithium-iron-phosphate (LiFePO4),,https://en.wikipedia.org/wiki/Lithium_iron_phosphate_battery
battery type,lithium manganese oxide,,,,,,,,,lithium-manganese oxide (LMO),,https://en.wikipedia.org/wiki/Lithium_ion_manganese_oxide_battery
battery type,lithium cobalt oxide,,,,,,,,,lithium-cobalt oxide (LCO),,https://en.wikipedia.org/wiki/Lithium_cobalt_oxide
battery type,lithium nickel cobalt aluminium oxide,,,,,,,,,lithium-nickel-cobalt-aluminium oxide (LiNCA),,https://de.wikipedia.org/wiki/Lithium-Nickel-Cobalt-Aluminium-Oxide
class,vehicle manufacturer,vehicle information,,,,,,,,make,,https://en.wikipedia.org/wiki/Vehicle_identification_number#World_manufacturer_identifier
relation,has vehicle manufacturer,,vehicle,vehicle manufacturer,,,,,,,,
vehicle manufacturer,Acura,,,,,Acura,,,,,,
vehicle manufacturer,Alfa Romeo,,,,,Alfa Romeo,,,,,,
vehicle manufacturer,Aston Martin,,,,,Aston Martin,,,,,,
vehicle manufacturer,Audi,,,,,Audi,,,,,,https://en.wikipedia.org/wiki/Audi
vehicle manufacturer,Bentley,,,,,Bentley,,,,,,
vehicle manufacturer,BMW,,,,,BMW,,,,,,https://en.wikipedia.org/wiki/BMW
vehicle manufacturer,Buick,,,,,Buick,,,,,,
vehicle manufacturer,Cadillac,,,,,Cadillac,,,,,,
vehicle manufacturer,Chevrolet,,,,,Chevrolet,,,,,,
vehicle manufacturer,Chrysler,,,,,Chrysler,,,,,,
vehicle manufacturer,Daewoo,,,,,Daewoo,,,,,,
vehicle manufacturer,Dodge,,,,,Dodge,,,,,,
vehicle manufacturer,Ferrari,,,,,Ferrari,,,,,,
vehicle manufacturer,Fiat,,,,,Fiat,,,,,,
vehicle manufacturer,Ford,,,,,Ford,,,,,,https://en.wikipedia.org/wiki/Ford_Motor_Company
vehicle manufacturer,GMC,,,,,GMC,,,,,,
vehicle manufacturer,Harley Davidson,,,,,Harley Davidson,,,,,,
vehicle manufacturer,Honda,,,,,Honda,,,,,,
vehicle manufacturer,HUMMER,,,,,HUMMER,,,,,,
vehicle manufacturer,Hyundai,,,,,Hyundai,,,,,,
vehicle manufacturer,Infinity,,,,,Infinity,,,,,,
vehicle manufacturer,Jaguar,,,,,Jaguar,,,,,,
vehicle manufacturer,Jeep,,,,,Jeep,,,,,,
vehicle manufacturer,Kawasaki,,,,,Kawasaki,,,,,,
vehicle manufacturer,KIA,,,,,KIA,,,,,,
vehicle manufacturer,Lamborghini,,,,,Lamborghini,,,,,,
vehicle manufacturer,Land Rover,,,,,Land Rover,,,,,,
vehicle manufacturer,Lexus,,,,,Lexus,,,,,,
vehicle manufacturer,Lincoln,,,,,Lincoln,,,,,,
vehicle manufacturer,Lotus,,,,,Lotus,,,,,,
vehicle manufacturer,Mack,,,,,Mack,,,,,,
vehicle manufacturer,Mazda,,,,,Mazda,,,,,,
vehicle manufacturer,Mercedes-Benz,,,,,Mercedes-Benz,,,,Mercedes,Mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz
vehicle manufacturer,MINI,,,,,MINI,,,,,,
vehicle manufacturer,Mitsubishi,,,,,Mitsubishi,,,,,,
vehicle manufacturer,Nissan,,,,,Nissan,,,,,,
vehicle manufacturer,Opel,,,,,Opel,,,,,,https://en.wikipedia.org/wiki/Opel
vehicle manufacturer,Peugeot,,,,,Peugeot,,,,,,
vehicle manufacturer,Pontiac,,,,,Pontiac,,,,,,
vehicle manufacturer,Porsche,,,,,Porsche,,,,,,https://en.wikipedia.org/wiki/Porsche
vehicle manufacturer,Renault,,,,,Renault,,,,,,
vehicle manufacturer,Rolls Royce,,,,,Rolls Royce,,,,,,
vehicle manufacturer,Saab,,,,,Saab,,,,,,
vehicle manufacturer,Skoda,,,,,Skoda,,,,,,
vehicle manufacturer,Smart,,,,,Smart,,,,,,
vehicle manufacturer,Subaru,,,,,Subaru,,,,,,
vehicle manufacturer,Suzuki,,,,,Suzuki,,,,,,
vehicle manufacturer,Tesla,,,,,Tesla,,,,,,
vehicle manufacturer,Toyota,,,,,Toyota,,,,,,
vehicle manufacturer,Volkswagen,,,,,Volkswagen,,,,,Volkswagen (VW),https://en.wikipedia.org/wiki/Volkswagen
vehicle manufacturer,Volvo,,,,,Volvo,,,,,,
vehicle manufacturer,Yamaha,,,,,Yamaha,,,,,,
class,world manufacturer identifier,vehicle information,,,,,The company that produced the vehicle encoded in the VIN.,,,,,
relation,has world manufacturer identifier,,vehicle,world manufacturer identifier,,,,,,,,
attribute,world manufacturer id,,world manufacturer identifier,xsd:string,,,The first 3 digits of the VIN that uniquely identifies the manufacturer of a vehicle.,,,world manufacturer identifier (WMI),,
attribute,world manufacturer name,,world manufacturer identifier,xsd:string,,,,"Audi, BMW, Mercedes",,,,
attribute,world manufacturer region,,world manufacturer identifier,xsd:string,,,The first digit of the VIN.,"Europe, North America",,,,
attribute,world manufacturer country,,world manufacturer identifier,xsd:string,,,The first 2 digits of the VIN.,Germany,,,,
relation,same as,,world manufacturer identifier,business partner,,,,,,,,
iso standard,world manufacturer identifier code,,,,,,,,ISO 3780:2009,,,https://www.iso.org/standard/45844.html
