type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
attribute,number of drive axles,,vehicle chassis information,xsd:integer,,Anzahl der Antriebsachsen,,"1, 2",,,,
class,vehicle engine information,vehicle information,,,,,Information about the engine or engines of the vehicle.,,,,,
attribute,engine name,,vehicle engine information,xsd:string,,Motorbezeichnung,,"3.5L V6 TURBO, 3.0L L6 DOHC 24V",,,,https://schema.org/vehicleEngine
attribute,engine type code,,vehicle engine information,xsd:string,,Motortypschlüssel,,,,,,
attribute,engine series,,vehicle engine information,xsd:string,,Motorbaureihe,,b38,,,,
attribute,engine version,,vehicle engine information,xsd:string,,Motorversion,,,,,Technische Überarbeitung,
attribute,engine generation,,vehicle engine information,xsd:string,,Motorgeneration,,"1, 2, 3",,,,
attribute,engine manufacturer,,vehicle engine information,xsd:string,,Motorhersteller,,"Audi, BMW, Mercedes, Volkswagen",,,,
attribute,engine form,,vehicle engine information,xsd:string,,Motorform,,"straight/inline, V, W, boxer/flat",,,"Bauform, Bauweise",https://en.wikipedia.org/wiki/Engine_configuration
attribute,number of cylinders,,vehicle engine information,xsd:integer,,Anzahl der Zylinder,,"3, 4, 5, 6, 8, 12",,,Zylinderanzahl,
attribute,number of valves,,vehicle engine information,xsd:integer,,,,,,,,
attribute,bore,,vehicle engine information,xsd:double,,,,,in mm,,,
attribute,stroke,,vehicle engine information,xsd:double,,,,,in mm,,,
attribute,camshaft valvetrain configuration,,vehicle engine information,xsd:string,,,,DOHC,,,,
attribute,engine family,,vehicle engine information,xsd:string,,Motorfamilie,,"Inline 4, V6, V12, W8",,,,
attribute,engine position,,vehicle engine information,xsd:string,,Motorposition,,"front, mid, rear",,,Motoranordnung,
attribute,engine alignment,,vehicle engine information,xsd:string,,Motorausrichtung,,"longitudinal, transverse",,,,
attribute,engine performance class,,vehicle engine information,xsd:string,,Motorleistungsklasse,,"low, middle, high",,,,
attribute,engine max power,,vehicle engine information,xsd:double,,Leistung,"The power of the vehicle's engine. Typical unit code(s): KWT for kilowatt, BHP for brake horsepower, N12 for metric horsepower (PS, with 1 PS = 735,49875 W)",150.0,in horsepower,,Nennleistung,https://schema.org/enginePower
attribute,engine max torque,,vehicle engine information,xsd:double,,Drehmoment,The torque (turning force) of the vehicle's engine.,200.0,in Nm,,,"https://schema.org/torque, https://en.wikipedia.org/wiki/Torque"
attribute,engine displacement,,vehicle engine information,xsd:double,,Hubraum,The volume swept by all of the pistons inside the cylinders of an internal combustion engine in a single movement.,,in ccm,engine capacity,,"https://schema.org/engineDisplacement, https://en.wikipedia.org/wiki/Engine_displacement"
attribute,engine compression ratio,,vehicle engine information,xsd:double,,Verdichtungsverhältnis,,2022-01-08 00:00:00,,,,https://en.wikipedia.org/wiki/Compression_ratio
attribute,engine aspiration,,vehicle engine information,xsd:string,,Ansaugung ,,"natural, turbo",,,,https://de.wikipedia.org/wiki/Turbolader
attribute,engine fuel injection,,vehicle engine information,xsd:string,,Kraftstoffeinspritzung,,"direct, indirect",,,,https://en.wikipedia.org/wiki/Fuel_injection
class,vehicle fuel information,vehicle information,,,,,Information about the engine or engines of the vehicle.,,,,,
attribute,fuel type,,vehicle fuel information,xsd:string,,Kraftstoffart,"The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.","petrol, diesel",,,,https://schema.org/fuelType
attribute,fuel tank capacity,,vehicle fuel information,xsd:double,,Tankinhalt,"The capacity of the fuel tank or in the case of electric cars, the battery. If there are multiple components for storage, this should indicate the total of all storage of the same type.",50.0,in liter,,,https://schema.org/fuelCapacity
attribute,adblue tank capacity,,vehicle fuel information,xsd:double,,,,8.0,in liter,,,
attribute,fuel consumption combined,,vehicle fuel information,xsd:double,,kombinierter Kraftstoff­verbrauch,The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).,5.0,,"fuel economy combined, mixed consumption",,"https://schema.org/fuelConsumption, https://en.wikipedia.org/wiki/Fuel_economy_in_automobiles"
attribute,fuel consumption city,,vehicle fuel information,xsd:double,,Kraftstoff­verbrauch in der Stadt,,8.0,,"fuel economy city, urban consumption",,"https://schema.org/fuelConsumption, https://en.wikipedia.org/wiki/Fuel_economy_in_automobiles"
attribute,fuel consumption highway,,vehicle fuel information,xsd:double,,Kraftstoff­verbrauch auf der Autobahn,,4.0,,"fuel economy highway, extra-urban consumption",,"https://schema.org/fuelConsumption, https://en.wikipedia.org/wiki/Fuel_economy_in_automobiles"
attribute,fuel efficiency,,vehicle fuel information,xsd:double,,,The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).,,,,,https://schema.org/fuelEfficiency
attribute,emission class,,vehicle fuel information,xsd:string,,Abgasnorm,"The euro emission class is a measure of a vehicle's emissions, calculated using a standard testing procedure. The higher the vehicle euro class, the less emissions the vehicle produces.","Euro 4, Euro 5, Euro 6",,,Euro-Norm,https://en.wikipedia.org/wiki/Vehicle_emission_standard
attribute,EU energy label,,vehicle fuel information,xsd:string,,,,"A, B, C, D",,energy efficiency class,"Energieeffizienzklasse, Energieverbrauchskennzeichnung, Kennzeichnung des Energieverbrauchs",https://en.wikipedia.org/wiki/European_Union_energy_label#Cars
attribute,CO2 emissions,,vehicle fuel information,xsd:integer,,,"The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put ""g/km"" into the unitText property of that value, since there is no UN/CEFACT Common Code for ""g/km"".",130.0,in g/km,,,https://schema.org/emissionsCO2
attribute,CO2 emissions WLTP,,vehicle fuel information,xsd:integer,,,"The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put ""g/km"" into the unitText property of that value, since there is no UN/CEFACT Common Code for ""g/km"".",130.0,in g/km,,,https://schema.org/emissionsCO2
class,vehicle battery information,vehicle information,,,,,,,,,,
attribute,battery type,,vehicle battery information,xsd:string,,,,Li-Ion,,,,
attribute,battery weight,,vehicle battery information,xsd:integer,,,,250.0,in kilogramms,,,
attribute,battery capacity,,vehicle battery information,xsd:integer,,,,,in kWhs,,,
attribute,electric power,,vehicle battery information,xsd:integer,,,,,in kW,,Nennleistung,
attribute,electric consumption,,vehicle battery information,xsd:double,,,,,,,,
attribute,charging time,,vehicle battery information,xsd:double,,,,,in hours,,,
class,vehicle performance information,vehicle information,,,,,,,,,,
attribute,vehicle max speed,,vehicle performance information,xsd:integer,,Höchst­geschwindigkeit,"The speed range of the vehicle. If the vehicle is powered by an engine, the upper limit of the speed range (indicated by maxValue should be the maximum speed achievable under regular conditions.",250.0,in km/h,top speed,,https://schema.org/speed
attribute,vehicle acceleration,,vehicle performance information,xsd:integer,,Beschleunigung,The time needed to accelerate the vehicle from 0 to 100 km/h.,5.0,in seconds,,,"https://schema.org/accelerationTime, https://en.wikipedia.org/wiki/0_to_60_mph"
attribute,vehicle breaking,,vehicle performance information,xsd:integer,,Bremsung,The time needed to decelerate the vehicle from 100 to 0 km/h.,5.0,in seconds,,,https://en.wikipedia.org/wiki/Brake
attribute,vehicle range,,vehicle performance information,xsd:integer,,Reichweite,,650.0,in kilometers,,,https://www.wikidata.org/wiki/Property:P2073
attribute,vehicle range WLTP,,vehicle performance information,xsd:integer,,,,650.0,in kilometers,,,
attribute,electric range,,vehicle performance information,xsd:integer,,Elektrische Reichweite,,,in kilometers,,,
attribute,electric range WLTP,,vehicle performance information,xsd:integer,,Elektrische Reichweite,,,in kilometers,,,
attribute,stationary noise,,vehicle performance information,xsd:integer,,Standgeräusch,,71.0,in dB(A),,,https://de.wikipedia.org/wiki/Fahrger%C3%A4usch
attribute,road noise,,vehicle performance information,xsd:integer,,Fahrgeräusch,,71.0,in dB(A),,,https://de.wikipedia.org/wiki/Fahrger%C3%A4usch
class,vehicle lifetime information,vehicle information,,,,,,,,,,
attribute,expected lifetime mileage,,vehicle lifetime information,xsd:integer,,Laufleistung,,150000.0,in kilometers,,,
attribute,expected lifetime,,vehicle lifetime information,xsd:integer,,Lebensdauer,,12.0,in years,,,
class,vehicle suspension information,vehicle information,,,,,,,,,,
attribute,front suspension,,vehicle suspension information,xsd:string,,Forderradaufhängung,,independent,,,,https://en.wikipedia.org/wiki/Independent_suspension
attribute,rear suspension,,vehicle suspension information,xsd:string,,Hinterradaufhängung,,independent,,,,https://en.wikipedia.org/wiki/Independent_suspension
attribute,front spring type,,vehicle suspension information,xsd:string,,,,coil,,,,
attribute,rear spring type,,vehicle suspension information,xsd:string,,,,coil,,,,
attribute,front brake disc diameter,,vehicle dimension information,xsd:double,,,,,in mm,,,
attribute,front brake disc diameter,,vehicle dimension information,xsd:double,,,,,in mm,,,
class,vehicle tire information,vehicle information,,,,,,,,,,
attribute,tire,,vehicle suspension information,xsd:string,,,,225/45R17,,tyre,Bereifung,https://en.wikipedia.org/wiki/Tire
